NewQuestion,M
Title,Determine signal type
QuestionText,"For each of the descriptions below, determine whether the description refers to an analog signal, digital signal, or is not a signal.",NOT HTML
Points,10
Difficulty,1
Scoring,EquallyWeighted
Choice,1,Digital
Choice,2,Not a signal
Choice,3,Analog
Match,1,The number of hairs in your head
Match,1,The seated position of a light switch
Match,2,The value of Pi
Match,1,The number of days in February
Match,1,The number of cookies in a cookie jar
Match,3,The amount of water coming out of the end of a water slide
Match,3,The exact temperature outside of the University Union
Match,2,The barcode on your favorite box of cereal
Match,2,The number of days in August


NewQuestion,M
Title,Determine signal type
QuestionText,"For each of the descriptions below, determine whether the description refers to an analog signal, digital signal, or is not a signal.",NOT HTML
Points,10
Difficulty,1
Scoring,EquallyWeighted
Choice,1,Analog
Choice,2,Not a signal
Choice,3,Digital
Match,1,The height of a growing sapling over a decade
Match,2,Your birthdate
Match,1,The intensity of sunlight coming through your dorm window during the sunrise
Match,1,The volume of a song on the radio
Match,1,Wind speed on the top of a mountain
Match,3,The state of your connection to a vpn
Match,3,How many teeth you've had in your life
Match,2,The value of the smallest prime number
Match,2,The exact number of days in a week


NewQuestion,M
Title,Determine signal type
QuestionText,"For each of the descriptions below, determine whether the description refers to an analog signal, digital signal, or is not a signal.",NOT HTML
Points,10
Difficulty,1
Scoring,EquallyWeighted
Choice,1,Not a signal
Choice,2,Analog
Choice,3,Digital
Match,1,Acceleration due to gravity
Match,1,The number of days in August
Match,2,The exact temperature outside of the University Union
Match,2,The volume of a song on the radio
Match,2,The the exact distance from the ground of a falling leaf
Match,3,The amount of cans in a vending machine
Match,3,The number of pencils in your bag
Match,1,The amount of letters in the word 'combination'
Match,1,The day Star Wars was released


NewQuestion,M
Title,Determine signal type
QuestionText,"For each of the descriptions below, determine whether the description refers to an analog signal, digital signal, or is not a signal.",NOT HTML
Points,10
Difficulty,1
Scoring,EquallyWeighted
Choice,1,Digital
Choice,2,Not a signal
Choice,3,Analog
Match,1,The state of a motion activated light
Match,1,The amount of cans in a vending machine
Match,2,The exact number of days in a week
Match,1,The number of days in February
Match,2,Your legal name
Match,1,How many teeth you've had in your life
Match,1,The reading of barcode scanner
Match,1,The number of hairs in your head
Match,3,The intensity of sunlight coming through your dorm window during the sunrise


NewQuestion,M
Title,Determine signal type
QuestionText,"For each of the descriptions below, determine whether the description refers to an analog signal, digital signal, or is not a signal.",NOT HTML
Points,10
Difficulty,1
Scoring,EquallyWeighted
Choice,1,Digital
Choice,2,Analog
Choice,3,Not a signal
Match,1,The state of a motion activated light
Match,1,The number of hairs in your head
Match,1,The amount of US Dollars in someone's bank account
Match,1,The number of cookies in a cookie jar
Match,2,The pitch of an opera singer during their debut
Match,3,Your social security number
Match,2,The height of a growing sapling over a decade
Match,2,How far a steering wheel has been turned
Match,2,The exact temperature outside of the University Union


NewQuestion,M
Title,Determine signal type
QuestionText,"For each of the descriptions below, determine whether the description refers to an analog signal, digital signal, or is not a signal.",NOT HTML
Points,10
Difficulty,1
Scoring,EquallyWeighted
Choice,1,Digital
Choice,2,Not a signal
Choice,3,Analog
Match,1,The exact number of fingers you are currently using
Match,1,The amount of US Dollars in someone's bank account
Match,1,The number of hairs in your head
Match,2,The value of Pi
Match,2,The time zone that Washington DC is in
Match,2,The exact number of degrees per single radian
Match,2,The weight of a kilogram
Match,3,The the exact distance from the ground of a falling leaf
Match,2,The exact number of days in a week


NewQuestion,M
Title,Determine signal type
QuestionText,"For each of the descriptions below, determine whether the description refers to an analog signal, digital signal, or is not a signal.",NOT HTML
Points,10
Difficulty,1
Scoring,EquallyWeighted
Choice,1,Analog
Choice,2,Not a signal
Choice,3,Digital
Match,1,The volume of a song on the radio
Match,2,The value of the smallest prime number
Match,3,The seconds left on a basketball shot clock
Match,3,The reading of barcode scanner
Match,2,The exact number of degrees per single radian
Match,2,The amount of letters in the word 'combination'
Match,1,The exact amount of time left until the 9th of August
Match,3,The amount of US Dollars in someone's bank account
Match,1,The temperature of your coffee over the course of your digital logic class


NewQuestion,M
Title,Determine signal type
QuestionText,"For each of the descriptions below, determine whether the description refers to an analog signal, digital signal, or is not a signal.",NOT HTML
Points,10
Difficulty,1
Scoring,EquallyWeighted
Choice,1,Analog
Choice,2,Digital
Choice,3,Not a signal
Match,1,Wind speed on the top of a mountain
Match,2,The number of days in February
Match,2,The number of pencils in your bag
Match,3,Acceleration due to gravity
Match,2,The tv channel number as your friend flips through
Match,1,The amount of water coming out of the end of a water slide
Match,1,How far a steering wheel has been turned
Match,1,The rhythm of your pulse as it varies with each heartbeat
Match,2,The number of hairs in your head


NewQuestion,M
Title,Determine signal type
QuestionText,"For each of the descriptions below, determine whether the description refers to an analog signal, digital signal, or is not a signal.",NOT HTML
Points,10
Difficulty,1
Scoring,EquallyWeighted
Choice,1,Not a signal
Choice,2,Analog
Choice,3,Digital
Match,1,The barcode on your favorite box of cereal
Match,2,The height of a growing sapling over a decade
Match,3,The number of hairs in your head
Match,3,The state of your connection to a vpn
Match,2,The temperature of your coffee over the course of your digital logic class
Match,2,The intensity of sunlight coming through your dorm window during the sunrise
Match,3,How many teeth you've had in your life
Match,2,The exact amount of time left until the 9th of August
Match,1,The exact number of days in a week


NewQuestion,M
Title,Determine signal type
QuestionText,"For each of the descriptions below, determine whether the description refers to an analog signal, digital signal, or is not a signal.",NOT HTML
Points,10
Difficulty,1
Scoring,EquallyWeighted
Choice,1,Digital
Choice,2,Not a signal
Choice,3,Analog
Match,1,The state of a motion activated light
Match,2,The exact number of degrees per single radian
Match,1,The number of sunrises left until the the 9th of August
Match,3,The intensity of sunlight coming through your dorm window during the sunrise
Match,1,The state of your connection to a vpn
Match,2,The time zone that Washington DC is in
Match,3,The height of a growing sapling over a decade
Match,1,The state of a traffic light
Match,2,The day Star Wars was released


NewQuestion,M
Title,Determine signal type
QuestionText,"For each of the descriptions below, determine whether the description refers to an analog signal, digital signal, or is not a signal.",NOT HTML
Points,10
Difficulty,1
Scoring,EquallyWeighted
Choice,1,Analog
Choice,2,Digital
Choice,3,Not a signal
Match,1,The temperature of your coffee over the course of your digital logic class
Match,1,The pressure in your tires over the course of a New York winter
Match,2,How many teeth you've had in your life
Match,3,Your social security number
Match,2,The number of sunrises left until the the 9th of August
Match,3,The exact number of degrees per single radian
Match,3,The barcode on your favorite box of cereal
Match,2,The number of cookies in a cookie jar
Match,3,The speed of light


NewQuestion,M
Title,Determine signal type
QuestionText,"For each of the descriptions below, determine whether the description refers to an analog signal, digital signal, or is not a signal.",NOT HTML
Points,10
Difficulty,1
Scoring,EquallyWeighted
Choice,1,Analog
Choice,2,Digital
Choice,3,Not a signal
Match,1,The temperature of your coffee over the course of your digital logic class
Match,2,The number of cookies in a cookie jar
Match,2,The state of your connection to a vpn
Match,2,The number of hairs in your head
Match,3,Your birthdate
Match,1,The rhythm of your pulse as it varies with each heartbeat
Match,1,Wind speed on the top of a mountain
Match,3,The exact number of days in a week
Match,2,The state of a motion activated light


NewQuestion,M
Title,Determine signal type
QuestionText,"For each of the descriptions below, determine whether the description refers to an analog signal, digital signal, or is not a signal.",NOT HTML
Points,10
Difficulty,1
Scoring,EquallyWeighted
Choice,1,Not a signal
Choice,2,Analog
Choice,3,Digital
Match,1,Your blood type
Match,2,How far a steering wheel has been turned
Match,2,The rhythm of your pulse as it varies with each heartbeat
Match,2,The pressure of your fingers on your phone screen as you type an email
Match,3,The reading of barcode scanner
Match,2,Body temperature during a night's sleep in a hotel bed
Match,2,The height of a growing sapling over a decade
Match,2,The intensity of sunlight coming through your dorm window during the sunrise
Match,1,Your social security number


NewQuestion,M
Title,Determine signal type
QuestionText,"For each of the descriptions below, determine whether the description refers to an analog signal, digital signal, or is not a signal.",NOT HTML
Points,10
Difficulty,1
Scoring,EquallyWeighted
Choice,1,Analog
Choice,2,Digital
Choice,3,Not a signal
Match,1,The rhythm of your pulse as it varies with each heartbeat
Match,2,The state of a motion activated light
Match,3,The weight of a kilogram
Match,3,The value of Pi
Match,2,The number of pencils in your bag
Match,2,The number of hairs in your head
Match,2,The number of days in February
Match,2,The tv channel number as your friend flips through
Match,3,The value of the smallest prime number


NewQuestion,M
Title,Determine signal type
QuestionText,"For each of the descriptions below, determine whether the description refers to an analog signal, digital signal, or is not a signal.",NOT HTML
Points,10
Difficulty,1
Scoring,EquallyWeighted
Choice,1,Not a signal
Choice,2,Analog
Choice,3,Digital
Match,1,The value of the smallest prime number
Match,2,The intensity of sunlight coming through your dorm window during the sunrise
Match,1,The number of days in August
Match,3,The number of cookies in a cookie jar
Match,3,The state of a traffic light
Match,1,The time zone that Washington DC is in
Match,1,The speed of light
Match,2,The the exact distance from the ground of a falling leaf
Match,3,The exact number of fingers you are currently using


NewQuestion,M
Title,Determine signal type
QuestionText,"For each of the descriptions below, determine whether the description refers to an analog signal, digital signal, or is not a signal.",NOT HTML
Points,10
Difficulty,1
Scoring,EquallyWeighted
Choice,1,Analog
Choice,2,Not a signal
Choice,3,Digital
