NewQuestion,SA
Title,Convert oct to dec SA
QuestionText,<p>What is 342<sub>8</sub> in decimal?</p>,HTML
Points,10
Difficulty,1
ANSWER,100,^\s*0*226\s*$,regexp


NewQuestion,SA
Title,Convert oct to dec SA
QuestionText,<p>What is 333<sub>8</sub> in decimal?</p>,HTML
Points,10
Difficulty,1
ANSWER,100,^\s*0*219\s*$,regexp


NewQuestion,SA
Title,Convert oct to dec SA
QuestionText,<p>What is 115<sub>8</sub> in decimal?</p>,HTML
Points,10
Difficulty,1
ANSWER,100,^\s*0*77\s*$,regexp


NewQuestion,SA
Title,Convert oct to dec SA
QuestionText,<p>What is 255<sub>8</sub> in decimal?</p>,HTML
Points,10
Difficulty,1
ANSWER,100,^\s*0*173\s*$,regexp


NewQuestion,SA
Title,Convert oct to dec SA
QuestionText,<p>What is 573<sub>8</sub> in decimal?</p>,HTML
Points,10
Difficulty,1
ANSWER,100,^\s*0*379\s*$,regexp


NewQuestion,SA
Title,Convert oct to dec SA
QuestionText,<p>What is 126<sub>8</sub> in decimal?</p>,HTML
Points,10
Difficulty,1
ANSWER,100,^\s*0*86\s*$,regexp


NewQuestion,SA
Title,Convert oct to dec SA
QuestionText,<p>What is 127<sub>8</sub> in decimal?</p>,HTML
Points,10
Difficulty,1
ANSWER,100,^\s*0*87\s*$,regexp


NewQuestion,SA
Title,Convert oct to dec SA
QuestionText,<p>What is 631<sub>8</sub> in decimal?</p>,HTML
Points,10
Difficulty,1
ANSWER,100,^\s*0*409\s*$,regexp


NewQuestion,SA
Title,Convert oct to dec SA
QuestionText,<p>What is 323<sub>8</sub> in decimal?</p>,HTML
Points,10
Difficulty,1
ANSWER,100,^\s*0*211\s*$,regexp


NewQuestion,SA
Title,Convert oct to dec SA
QuestionText,<p>What is 774<sub>8</sub> in decimal?</p>,HTML
Points,10
Difficulty,1
ANSWER,100,^\s*0*508\s*$,regexp


NewQuestion,SA
Title,Convert oct to dec SA
QuestionText,<p>What is 227<sub>8</sub> in decimal?</p>,HTML
Points,10
Difficulty,1
ANSWER,100,^\s*0*151\s*$,regexp


NewQuestion,SA
Title,Convert oct to dec SA
QuestionText,<p>What is 775<sub>8</sub> in decimal?</p>,HTML
Points,10
Difficulty,1
ANSWER,100,^\s*0*509\s*$,regexp


NewQuestion,SA
Title,Convert oct to dec SA
QuestionText,<p>What is 707<sub>8</sub> in decimal?</p>,HTML
Points,10
Difficulty,1
ANSWER,100,^\s*0*455\s*$,regexp


NewQuestion,SA
Title,Convert oct to dec SA
QuestionText,<p>What is 131<sub>8</sub> in decimal?</p>,HTML
Points,10
Difficulty,1
ANSWER,100,^\s*0*89\s*$,regexp


NewQuestion,SA
Title,Convert oct to dec SA
QuestionText,<p>What is 316<sub>8</sub> in decimal?</p>,HTML
Points,10
Difficulty,1
ANSWER,100,^\s*0*206\s*$,regexp


NewQuestion,SA
Title,Convert oct to dec SA
QuestionText,<p>What is 152<sub>8</sub> in decimal?</p>,HTML
Points,10
Difficulty,1
ANSWER,100,^\s*0*106\s*$,regexp


NewQuestion,SA
Title,Convert oct to dec SA
QuestionText,<p>What is 125<sub>8</sub> in decimal?</p>,HTML
Points,10
Difficulty,1
ANSWER,100,^\s*0*85\s*$,regexp


NewQuestion,SA
Title,Convert oct to dec SA
QuestionText,<p>What is 412<sub>8</sub> in decimal?</p>,HTML
Points,10
Difficulty,1
ANSWER,100,^\s*0*266\s*$,regexp


NewQuestion,SA
Title,Convert oct to dec SA
QuestionText,<p>What is 200<sub>8</sub> in decimal?</p>,HTML
Points,10
Difficulty,1
ANSWER,100,^\s*0*128\s*$,regexp


NewQuestion,SA
Title,Convert oct to dec SA
QuestionText,<p>What is 342<sub>8</sub> in decimal?</p>,HTML
Points,10
Difficulty,1
ANSWER,100,^\s*0*226\s*$,regexp


NewQuestion,SA
Title,Convert oct to dec SA
QuestionText,<p>What is 55<sub>8</sub> in decimal?</p>,HTML
Points,10
Difficulty,1
ANSWER,100,^\s*0*45\s*$,regexp


NewQuestion,SA
Title,Convert oct to dec SA
QuestionText,<p>What is 372<sub>8</sub> in decimal?</p>,HTML
Points,10
Difficulty,1
ANSWER,100,^\s*0*250\s*$,regexp


NewQuestion,SA
Title,Convert oct to dec SA
QuestionText,<p>What is 222<sub>8</sub> in decimal?</p>,HTML
Points,10
Difficulty,1
ANSWER,100,^\s*0*146\s*$,regexp


NewQuestion,SA
Title,Convert oct to dec SA
QuestionText,<p>What is 230<sub>8</sub> in decimal?</p>,HTML
Points,10
Difficulty,1
ANSWER,100,^\s*0*152\s*$,regexp


NewQuestion,SA
Title,Convert oct to dec SA
QuestionText,<p>What is 372<sub>8</sub> in decimal?</p>,HTML
Points,10
Difficulty,1
ANSWER,100,^\s*0*250\s*$,regexp


NewQuestion,SA
Title,Convert oct to dec SA
QuestionText,<p>What is 763<sub>8</sub> in decimal?</p>,HTML
Points,10
Difficulty,1
ANSWER,100,^\s*0*499\s*$,regexp


NewQuestion,SA
Title,Convert oct to dec SA
QuestionText,<p>What is 367<sub>8</sub> in decimal?</p>,HTML
Points,10
Difficulty,1
ANSWER,100,^\s*0*247\s*$,regexp


NewQuestion,SA
Title,Convert oct to dec SA
QuestionText,<p>What is 751<sub>8</sub> in decimal?</p>,HTML
Points,10
Difficulty,1
ANSWER,100,^\s*0*489\s*$,regexp


NewQuestion,SA
Title,Convert oct to dec SA
QuestionText,<p>What is 460<sub>8</sub> in decimal?</p>,HTML
Points,10
Difficulty,1
ANSWER,100,^\s*0*304\s*$,regexp


NewQuestion,SA
Title,Convert oct to dec SA
QuestionText,<p>What is 123<sub>8</sub> in decimal?</p>,HTML
Points,10
Difficulty,1
ANSWER,100,^\s*0*83\s*$,regexp


NewQuestion,SA
Title,Convert oct to dec SA
QuestionText,<p>What is 757<sub>8</sub> in decimal?</p>,HTML
Points,10
Difficulty,1
ANSWER,100,^\s*0*495\s*$,regexp


NewQuestion,SA
Title,Convert oct to dec SA
QuestionText,<p>What is 675<sub>8</sub> in decimal?</p>,HTML
Points,10
Difficulty,1
ANSWER,100,^\s*0*445\s*$,regexp


NewQuestion,SA
Title,Convert oct to dec SA
QuestionText,<p>What is 345<sub>8</sub> in decimal?</p>,HTML
Points,10
Difficulty,1
ANSWER,100,^\s*0*229\s*$,regexp


NewQuestion,SA
Title,Convert oct to dec SA
QuestionText,<p>What is 442<sub>8</sub> in decimal?</p>,HTML
Points,10
Difficulty,1
ANSWER,100,^\s*0*290\s*$,regexp


NewQuestion,SA
Title,Convert oct to dec SA
QuestionText,<p>What is 117<sub>8</sub> in decimal?</p>,HTML
Points,10
Difficulty,1
ANSWER,100,^\s*0*79\s*$,regexp


NewQuestion,SA
Title,Convert oct to dec SA
QuestionText,<p>What is 434<sub>8</sub> in decimal?</p>,HTML
Points,10
Difficulty,1
ANSWER,100,^\s*0*284\s*$,regexp


NewQuestion,SA
Title,Convert oct to dec SA
QuestionText,<p>What is 555<sub>8</sub> in decimal?</p>,HTML
Points,10
Difficulty,1
ANSWER,100,^\s*0*365\s*$,regexp


NewQuestion,SA
Title,Convert oct to dec SA
QuestionText,<p>What is 746<sub>8</sub> in decimal?</p>,HTML
Points,10
Difficulty,1
ANSWER,100,^\s*0*486\s*$,regexp


NewQuestion,SA
Title,Convert oct to dec SA
QuestionText,<p>What is 172<sub>8</sub> in decimal?</p>,HTML
Points,10
Difficulty,1
ANSWER,100,^\s*0*122\s*$,regexp


NewQuestion,SA
Title,Convert oct to dec SA
QuestionText,<p>What is 45<sub>8</sub> in decimal?</p>,HTML
Points,10
Difficulty,1
ANSWER,100,^\s*0*37\s*$,regexp


NewQuestion,SA
Title,Convert oct to dec SA
QuestionText,<p>What is 212<sub>8</sub> in decimal?</p>,HTML
Points,10
Difficulty,1
ANSWER,100,^\s*0*138\s*$,regexp


NewQuestion,SA
Title,Convert oct to dec SA
QuestionText,<p>What is 700<sub>8</sub> in decimal?</p>,HTML
Points,10
Difficulty,1
ANSWER,100,^\s*0*448\s*$,regexp


NewQuestion,SA
Title,Convert oct to dec SA
QuestionText,<p>What is 153<sub>8</sub> in decimal?</p>,HTML
Points,10
Difficulty,1
ANSWER,100,^\s*0*107\s*$,regexp


NewQuestion,SA
Title,Convert oct to dec SA
QuestionText,<p>What is 264<sub>8</sub> in decimal?</p>,HTML
Points,10
Difficulty,1
ANSWER,100,^\s*0*180\s*$,regexp


NewQuestion,SA
Title,Convert oct to dec SA
QuestionText,<p>What is 465<sub>8</sub> in decimal?</p>,HTML
Points,10
Difficulty,1
ANSWER,100,^\s*0*309\s*$,regexp


NewQuestion,SA
Title,Convert oct to dec SA
QuestionText,<p>What is 367<sub>8</sub> in decimal?</p>,HTML
Points,10
Difficulty,1
ANSWER,100,^\s*0*247\s*$,regexp


NewQuestion,SA
Title,Convert oct to dec SA
QuestionText,<p>What is 54<sub>8</sub> in decimal?</p>,HTML
Points,10
Difficulty,1
ANSWER,100,^\s*0*44\s*$,regexp


NewQuestion,SA
Title,Convert oct to dec SA
QuestionText,<p>What is 50<sub>8</sub> in decimal?</p>,HTML
Points,10
Difficulty,1
ANSWER,100,^\s*0*40\s*$,regexp


NewQuestion,SA
Title,Convert oct to dec SA
QuestionText,<p>What is 573<sub>8</sub> in decimal?</p>,HTML
Points,10
Difficulty,1
ANSWER,100,^\s*0*379\s*$,regexp


NewQuestion,SA
Title,Convert oct to dec SA
QuestionText,<p>What is 470<sub>8</sub> in decimal?</p>,HTML
Points,10
Difficulty,1
ANSWER,100,^\s*0*312\s*$,regexp


