NewQuestion,M
Title,Distribute over OR
QuestionText,Match each expression on the left with the expression on the right that is logically equivalent.,NOT HTML
Points,10
Difficulty,1
Scoring,EquallyWeighted
Choice,1,a'bc'd+a'c'de
Choice,2,a'bc'd+be
Choice,3,be+a'c'de
Choice,4,a'c'd(b'+e')
Choice,5,b'(a'c'd+e')
Choice,6,e'(b'+a'c'd)
Match,1,a'c'd(b+e)
Match,2,b(a'c'd+e)
Match,3,e(b+a'c'd)
Match,4,a'b'c'd+a'c'de'
Match,5,a'b'c'd+b'e'
Match,6,b'e'+a'c'de'


NewQuestion,M
Title,Distribute over OR
QuestionText,Match each expression on the left with the expression on the right that is logically equivalent.,NOT HTML
Points,10
Difficulty,1
Scoring,EquallyWeighted
Choice,1,bce+ad'e
Choice,2,bce+abcd'
Choice,3,abcd'+ad'e
Choice,4,e'(bc'+a'd')
Choice,5,bc'(e'+a'd')
Choice,6,a'd'(bc'+e')
Match,1,e(bc+ad')
Match,2,bc(e+ad')
Match,3,ad'(bc+e)
Match,4,bc'e'+a'd'e'
Match,5,bc'e'+a'bc'd'
Match,6,a'bc'd'+a'd'e'


NewQuestion,M
Title,Distribute over OR
QuestionText,Match each expression on the left with the expression on the right that is logically equivalent.,NOT HTML
Points,10
Difficulty,1
Scoring,EquallyWeighted
Choice,1,ade'+bde'
Choice,2,ade'+ab
Choice,3,ab+bde'
Choice,4,de(a+b)
Choice,5,a(de+b)
Choice,6,b(a+de)
Match,1,de'(a+b)
Match,2,a(de'+b)
Match,3,b(a+de')
Match,4,ade+bde
Match,5,ade+ab
Match,6,ab+bde


NewQuestion,M
Title,Distribute over OR
QuestionText,Match each expression on the left with the expression on the right that is logically equivalent.,NOT HTML
Points,10
Difficulty,1
Scoring,EquallyWeighted
Choice,1,wy+vwx'z
Choice,2,wy+vx'yz
Choice,3,vx'yz+vwx'z
Choice,4,w(y+vxz')
Choice,5,y(w+vxz')
Choice,6,vxz'(y+w)
Match,1,w(y+vx'z)
Match,2,y(w+vx'z)
Match,3,vx'z(y+w)
Match,4,wy+vwxz'
Match,5,wy+vxyz'
Match,6,vxyz'+vwxz'


NewQuestion,M
Title,Distribute over OR
QuestionText,Match each expression on the left with the expression on the right that is logically equivalent.,NOT HTML
Points,10
Difficulty,1
Scoring,EquallyWeighted
Choice,1,w'xyz'+v'xyz'
Choice,2,w'xyz'+v'w'
Choice,3,v'w'+v'xyz'
Choice,4,xyz(w+v')
Choice,5,w(xyz+v')
Choice,6,v'(w+xyz)
Match,1,xyz'(w'+v')
Match,2,w'(xyz'+v')
Match,3,v'(w'+xyz')
Match,4,wxyz+v'xyz
Match,5,wxyz+v'w
Match,6,v'w+v'xyz


NewQuestion,M
Title,Distribute over OR
QuestionText,Match each expression on the left with the expression on the right that is logically equivalent.,NOT HTML
Points,10
Difficulty,1
Scoring,EquallyWeighted
Choice,1,xy'z'+vxy'
Choice,2,xy'z'+vz'
Choice,3,vz'+vxy'
Choice,4,x'y'(z'+v)
Choice,5,z'(x'y'+v)
Choice,6,v(z'+x'y')
Match,1,xy'(z'+v)
Match,2,z'(xy'+v)
Match,3,v(z'+xy')
Match,4,x'y'z'+vx'y'
Match,5,x'y'z'+vz'
Match,6,vz'+vx'y'


NewQuestion,M
Title,Distribute over OR
QuestionText,Match each expression on the left with the expression on the right that is logically equivalent.,NOT HTML
Points,10
Difficulty,1
Scoring,EquallyWeighted
Choice,1,v'wx'z+wy
Choice,2,v'wx'z+v'x'yz
Choice,3,v'x'yz+wy
Choice,4,w(vxz'+y)
Choice,5,vxz'(w+y)
Choice,6,y(vxz'+w)
Match,1,w(v'x'z+y)
Match,2,v'x'z(w+y)
Match,3,y(v'x'z+w)
Match,4,vwxz'+wy
Match,5,vwxz'+vxyz'
Match,6,vxyz'+wy


NewQuestion,M
Title,Distribute over OR
QuestionText,Match each expression on the left with the expression on the right that is logically equivalent.,NOT HTML
Points,10
Difficulty,1
Scoring,EquallyWeighted
Choice,1,vwx'+wx'y'
Choice,2,vwx'+vy'
Choice,3,vy'+wx'y'
Choice,4,w'x(v+y')
Choice,5,v(w'x+y')
Choice,6,y'(v+w'x)
Match,1,wx'(v+y')
Match,2,v(wx'+y')
Match,3,y'(v+wx')
Match,4,vw'x+w'xy'
Match,5,vw'x+vy'
Match,6,vy'+w'xy'


NewQuestion,M
Title,Distribute over OR
QuestionText,Match each expression on the left with the expression on the right that is logically equivalent.,NOT HTML
Points,10
Difficulty,1
Scoring,EquallyWeighted
Choice,1,b'ce+ab'cd'
Choice,2,b'ce+ad'e
Choice,3,ad'e+ab'cd'
Choice,4,b'c(e+a'd)
Choice,5,e(b'c+a'd)
Choice,6,a'd(e+b'c)
Match,1,b'c(e+ad')
Match,2,e(b'c+ad')
Match,3,ad'(e+b'c)
Match,4,b'ce+a'b'cd
Match,5,b'ce+a'de
Match,6,a'de+a'b'cd


NewQuestion,M
Title,Distribute over OR
QuestionText,Match each expression on the left with the expression on the right that is logically equivalent.,NOT HTML
Points,10
Difficulty,1
Scoring,EquallyWeighted
Choice,1,a'b'c'd+de'
Choice,2,a'b'c'd+a'b'c'e'
Choice,3,a'b'c'e'+de'
Choice,4,d'(a'bc'+e')
Choice,5,a'bc'(d'+e')
Choice,6,e'(a'bc'+d')
Match,1,d(a'b'c'+e')
Match,2,a'b'c'(d+e')
Match,3,e'(a'b'c'+d)
Match,4,a'bc'd'+d'e'
Match,5,a'bc'd'+a'bc'e'
Match,6,a'bc'e'+d'e'


NewQuestion,M
Title,Distribute over OR
QuestionText,Match each expression on the left with the expression on the right that is logically equivalent.,NOT HTML
Points,10
Difficulty,1
Scoring,EquallyWeighted
Choice,1,a'bc'e+bc'd
Choice,2,a'bc'e+a'de
Choice,3,a'de+bc'd
Choice,4,bc'(a'e'+d)
Choice,5,a'e'(bc'+d)
Choice,6,d(a'e'+bc')
Match,1,bc'(a'e+d)
Match,2,a'e(bc'+d)
Match,3,d(a'e+bc')
Match,4,a'bc'e'+bc'd
Match,5,a'bc'e'+a'de'
