NewQuestion,M
Title,Distribute over AND
QuestionText,Match each expression on the left with the expression on the right that is logically equivalent.,NOT HTML
Points,10
Difficulty,1
Scoring,EquallyWeighted
Choice,1,(y'+w')(y'+z)
Choice,2,(w'+y')(w'+z)
Choice,3,(z+w')(z+y')
Choice,4,w'+y'z'
Choice,5,z'+w'y'
Choice,6,y'+w'z'
Match,1,y'+w'z
Match,2,w'+y'z
Match,3,z+w'y'
Match,6,(y'+w')(y'+z')
Match,4,(w'+y')(w'+z')
Match,5,(z'+w')(z'+y')


NewQuestion,M
Title,Distribute over AND
QuestionText,Match each expression on the left with the expression on the right that is logically equivalent.,NOT HTML
Points,10
Difficulty,1
Scoring,EquallyWeighted
Choice,1,c+ae'
Choice,2,a+ce'
Choice,3,(e+a')(e+c')
Choice,4,(a'+c')(a'+e)
Choice,5,e'+ac
Choice,6,(c'+a')(c'+e)
Match,6,c'+a'e
Match,4,a'+c'e
Match,3,e+a'c'
Match,1,(c+a)(c+e')
Match,2,(a+c)(a+e')
Match,5,(e'+a)(e'+c)


NewQuestion,M
Title,Distribute over AND
QuestionText,Match each expression on the left with the expression on the right that is logically equivalent.,NOT HTML
Points,10
Difficulty,1
Scoring,EquallyWeighted
Choice,1,b+a'c
Choice,2,(c'+a')(c'+b)
Choice,3,(a'+b)(a'+c')
Choice,4,a'+bc
Choice,5,(b+a')(b+c')
Choice,6,c+a'b
Match,5,b+a'c'
Match,3,a'+bc'
Match,2,c'+a'b
Match,1,(b+a')(b+c)
Match,4,(a'+b)(a'+c)
Match,6,(c+a')(c+b)


NewQuestion,M
Title,Distribute over AND
QuestionText,Match each expression on the left with the expression on the right that is logically equivalent.,NOT HTML
Points,10
Difficulty,1
Scoring,EquallyWeighted
Choice,1,(b'+c')(b'+a')
Choice,2,a'+c'b'
Choice,3,c'+b'a'
Choice,4,(a'+c')(a'+b')
Choice,5,b'+c'a'
Choice,6,(c'+b')(c'+a')
Match,1,b'+c'a'
Match,6,c'+b'a'
Match,4,a'+c'b'
Match,5,(b'+c')(b'+a')
Match,3,(c'+b')(c'+a')
Match,2,(a'+c')(a'+b')


NewQuestion,M
Title,Distribute over AND
QuestionText,Match each expression on the left with the expression on the right that is logically equivalent.,NOT HTML
Points,10
Difficulty,1
Scoring,EquallyWeighted
Choice,1,c+ea'
Choice,2,(c'+e)(c'+a')
Choice,3,e+ca'
Choice,4,a'+ce
Choice,5,(a'+c')(a'+e)
Choice,6,(e+c')(e+a')
Match,6,e+c'a'
Match,2,c'+ea'
Match,5,a'+c'e
Match,3,(e+c)(e+a')
Match,1,(c+e)(c+a')
Match,4,(a'+c)(a'+e)


NewQuestion,M
Title,Distribute over AND
QuestionText,Match each expression on the left with the expression on the right that is logically equivalent.,NOT HTML
Points,10
Difficulty,1
Scoring,EquallyWeighted
Choice,1,(d'+c')(d'+b)
Choice,2,b+d'c
Choice,3,d'+cb
Choice,4,(c'+d')(c'+b)
Choice,5,c+d'b
Choice,6,(b+d')(b+c')
Match,4,c'+d'b
Match,1,d'+c'b
Match,6,b+d'c'
Match,5,(c+d')(c+b)
Match,3,(d'+c)(d'+b)
Match,2,(b+d')(b+c)


NewQuestion,M
Title,Distribute over AND
QuestionText,Match each expression on the left with the expression on the right that is logically equivalent.,NOT HTML
Points,10
Difficulty,1
Scoring,EquallyWeighted
Choice,1,(w+v')(w+y)
Choice,2,(v'+y)(v'+w)
Choice,3,w+vy'
Choice,4,(y+v')(y+w)
Choice,5,v+y'w
Choice,6,y'+vw
Match,4,y+v'w
Match,2,v'+yw
Match,1,w+v'y
Match,6,(y'+v)(y'+w)
Match,5,(v+y')(v+w)
Match,3,(w+v)(w+y')


NewQuestion,M
Title,Distribute over AND
QuestionText,Match each expression on the left with the expression on the right that is logically equivalent.,NOT HTML
Points,10
Difficulty,1
Scoring,EquallyWeighted
Choice,1,y'+wv'
Choice,2,w+v'y'
Choice,3,(w'+v')(w'+y')
Choice,4,(v'+w')(v'+y')
Choice,5,v'+wy'
Choice,6,(y'+w')(y'+v')
Match,4,v'+w'y'
Match,3,w'+v'y'
Match,6,y'+w'v'
Match,5,(v'+w)(v'+y')
Match,2,(w+v')(w+y')
Match,1,(y'+w)(y'+v')


NewQuestion,M
Title,Distribute over AND
QuestionText,Match each expression on the left with the expression on the right that is logically equivalent.,NOT HTML
Points,10
Difficulty,1
Scoring,EquallyWeighted
Choice,1,(x+w')(x+z)
Choice,2,x+w'z'
Choice,3,(w'+x)(w'+z)
Choice,4,w'+xz'
Choice,5,(z+w')(z+x)
Choice,6,z'+w'x
Match,1,x+w'z
Match,3,w'+xz
Match,5,z+w'x
Match,2,(x+w')(x+z')
Match,4,(w'+x)(w'+z')
Match,6,(z'+w')(z'+x)


NewQuestion,M
Title,Distribute over AND
QuestionText,Match each expression on the left with the expression on the right that is logically equivalent.,NOT HTML
Points,10
Difficulty,1
Scoring,EquallyWeighted
Choice,1,c'+da'
Choice,2,(d'+c)(d'+a')
Choice,3,(c+d')(c+a')
Choice,4,d+c'a'
Choice,5,(a'+d')(a'+c)
Choice,6,a'+dc'
Match,3,c+d'a'
Match,2,d'+ca'
Match,5,a'+d'c
Match,1,(c'+d)(c'+a')
Match,4,(d+c')(d+a')
Match,6,(a'+d)(a'+c')


NewQuestion,M
Title,Distribute over AND
QuestionText,Match each expression on the left with the expression on the right that is logically equivalent.,NOT HTML
Points,10
Difficulty,1
Scoring,EquallyWeighted
Choice,1,(e'+a')(e'+b)
Choice,2,b+a'e'
Choice,3,(b+a')(b+e')
Choice,4,a'+be'
Choice,5,(a'+b)(a'+e')
Choice,6,e'+a'b
Match,3,b+a'e'
Match,5,a'+be'
Match,1,e'+a'b
Match,2,(b+a')(b+e')
Match,4,(a'+b)(a'+e')
Match,6,(e'+a')(e'+b)


NewQuestion,M
Title,Distribute over AND
QuestionText,Match each expression on the left with the expression on the right that is logically equivalent.,NOT HTML
Points,10
Difficulty,1
Scoring,EquallyWeighted
Choice,1,e+bd'
Choice,2,(d'+e')(d'+b')
