NewQuestion,SA
Title,Make WaveDrom from Circuit
QuestionText,"<p>The circuit above is <i>ideal</i> and ignores             gate delays. Click on the wavedrom text below to open the             problem in Watson Wiki. You may also copy and paste the text             into the wavedrom editor website.</p><p><a rel=""noopener"" href='https://watsonwiki.binghamton.edu/wavedrom/editor.html?%7B%20head%3A%7Btext%3A%27EECE%20251%20HW%2013%20Question%201%27%7D%2C%0Asignal%3A%0A%5B%0A%7Bname%3A%20%22a%22%2C%20wave%3A%20%22h...l.h.............%22%7D%2C%7Bname%3A%20%22b%22%2C%20wave%3A%20%22h.....l.h.l.h......l%22%7D%2C%7Bname%3A%20%22ab%22%2C%20wave%3A%20%27%27%7D%2C%7Bname%3A%20%22a%27%22%2C%20wave%3A%20%27%27%7D%2C%7Bname%3A%20%22b%27%22%2C%20wave%3A%20%27%27%7D%2C%7Bname%3A%20%22a%27b%27%22%2C%20wave%3A%20%27%27%7D%2C%7Bname%3A%20%22F%22%2C%20wave%3A%20%27%27%7D%2C%5D%2C%0A%20%20foot%3A%7Btock%3A1%7D%0A%7D' target=""_blank""><pre>{
head:{text:""EECE 251 HW 13 Question 1""},<br/>signal:[<br/>   {name: ""a"", wave: ""h...l...........hlh.""},<br/>    {name: ""b"", wave: ""h..l......hl........""},<br/>    {name: ""ab"", wave: ''},<br/>    {name: ""a'"", wave: ''},<br/>    {name: ""b'"", wave: ''},<br/>    {name: ""a'b'"", wave: ''},<br/>    {name: ""F"", wave: ''},<br/>],  foot:{tock:1}}</pre></a></p><p><b>When you are finished recreating the waveforms, please             copy and paste the wave for 'F' as your answer in the box below.</b></p>",HTML
Points,10
Difficulty,1
Image,/imagepools/alivebeef/ideal.png
Feedback,Answer should have 20 characters and look like 'h...l.h..l..........',NOT HTML
ANSWER,100,"(wave:)*\s*'*['h', '.', '.', 'l', 'h', '.', '.', '.', '.', '.', 'l', 'h', '.', '.', '.', '.', 'l', 'h', 'l', '.']'*\s*()(?!.*\1[^'a-z])\s*\+\s*()\s*$",regexp


