NewQuestion,SA
Title,2_non_ideal_circuit
QuestionText,"<p> The above circuit is NON-ideal, so each gate now has a delay as shown.             Click on the link below to open the problem in Watson Wiki.             Complete the timing diagram, and then paste all the code             into the answer box. </p> <p> <a href=""https://watsonwiki.binghamton.edu/wavedrom/editor.html?%7B%20head%3A%7Btext%3A%27Topic%2013%20Question%202%27%7D%2C%0Asignal%3A%0A%5B%0A%7Bname%3A%20%22a%22%2C%20wave%3A%20%220....1...0.10......1%22%7D%2C%7Bname%3A%20%22b%22%2C%20wave%3A%20%220......1...........0%22%7D%2C%7Bname%3A%20%22a%27%22%2C%20wave%3A%20%27%27%7D%2C%7Bname%3A%20%22b%27%22%2C%20wave%3A%20%27%27%7D%2C%7Bname%3A%20%22ab%22%2C%20wave%3A%20%27%27%7D%2C%7Bname%3A%20%22a%27b%27%22%2C%20wave%3A%20%27%27%7D%2C%7Bname%3A%20%22F%22%2C%20wave%3A%20%27%27%7D%2C%5D%2C%0A%20%20foot%3A%7Btock%3A1%7D%0A%7D"" target=""_blank"">WaveDrom Link</a> </p>",HTML
Points,10
Difficulty,1
Image,/imagepools/quantumbeef/non_ideal.png
ANSWER,100,(?i).*name.*f.*wave.*x\.\.\.\.\.1\.\.\.\.01\.0\.10\.\..*,regexp


NewQuestion,SA
Title,2_non_ideal_circuit
QuestionText,"<p> The above circuit is NON-ideal, so each gate now has a delay as shown.             Click on the link below to open the problem in Watson Wiki.             Complete the timing diagram, and then paste all the code             into the answer box. </p> <p> <a href=""https://watsonwiki.binghamton.edu/wavedrom/editor.html?%7B%20head%3A%7Btext%3A%27Topic%2013%20Question%202%27%7D%2C%0Asignal%3A%0A%5B%0A%7Bname%3A%20%22a%22%2C%20wave%3A%20%221..0....1.0.........%22%7D%2C%7Bname%3A%20%22b%22%2C%20wave%3A%20%221......0.1..0....1..%22%7D%2C%7Bname%3A%20%22a%27%22%2C%20wave%3A%20%27%27%7D%2C%7Bname%3A%20%22b%27%22%2C%20wave%3A%20%27%27%7D%2C%7Bname%3A%20%22ab%22%2C%20wave%3A%20%27%27%7D%2C%7Bname%3A%20%22a%27b%27%22%2C%20wave%3A%20%27%27%7D%2C%7Bname%3A%20%22F%22%2C%20wave%3A%20%27%27%7D%2C%5D%2C%0A%20%20foot%3A%7Btock%3A1%7D%0A%7D"" target=""_blank"">WaveDrom Link</a> </p>",HTML
Points,10
Difficulty,1
Image,/imagepools/quantumbeef/non_ideal.png
ANSWER,100,(?i).*name.*f.*wave.*x\.\.\.\.\.1\.0\.\.\.\.1\.0\.\.1\..*,regexp


NewQuestion,SA
Title,2_non_ideal_circuit
QuestionText,"<p> The above circuit is NON-ideal, so each gate now has a delay as shown.             Click on the link below to open the problem in Watson Wiki.             Complete the timing diagram, and then paste all the code             into the answer box. </p> <p> <a href=""https://watsonwiki.binghamton.edu/wavedrom/editor.html?%7B%20head%3A%7Btext%3A%27Topic%2013%20Question%202%27%7D%2C%0Asignal%3A%0A%5B%0A%7Bname%3A%20%22a%22%2C%20wave%3A%20%221........01......0..%22%7D%2C%7Bname%3A%20%22b%22%2C%20wave%3A%20%220....1....0..1......%22%7D%2C%7Bname%3A%20%22a%27%22%2C%20wave%3A%20%27%27%7D%2C%7Bname%3A%20%22b%27%22%2C%20wave%3A%20%27%27%7D%2C%7Bname%3A%20%22ab%22%2C%20wave%3A%20%27%27%7D%2C%7Bname%3A%20%22a%27b%27%22%2C%20wave%3A%20%27%27%7D%2C%7Bname%3A%20%22F%22%2C%20wave%3A%20%27%27%7D%2C%5D%2C%0A%20%20foot%3A%7Btock%3A1%7D%0A%7D"" target=""_blank"">WaveDrom Link</a> </p>",HTML
Points,10
Difficulty,1
Image,/imagepools/quantumbeef/non_ideal.png
ANSWER,100,(?i).*name.*f.*wave.*x\.\.\.\.\.0\.\.\.1\.\.\.0\.\.\.1\..*,regexp


NewQuestion,SA
Title,2_non_ideal_circuit
QuestionText,"<p> The above circuit is NON-ideal, so each gate now has a delay as shown.             Click on the link below to open the problem in Watson Wiki.             Complete the timing diagram, and then paste all the code             into the answer box. </p> <p> <a href=""https://watsonwiki.binghamton.edu/wavedrom/editor.html?%7B%20head%3A%7Btext%3A%27Topic%2013%20Question%202%27%7D%2C%0Asignal%3A%0A%5B%0A%7Bname%3A%20%22a%22%2C%20wave%3A%20%221..0..1.........0...%22%7D%2C%7Bname%3A%20%22b%22%2C%20wave%3A%20%220............10....1%22%7D%2C%7Bname%3A%20%22a%27%22%2C%20wave%3A%20%27%27%7D%2C%7Bname%3A%20%22b%27%22%2C%20wave%3A%20%27%27%7D%2C%7Bname%3A%20%22ab%22%2C%20wave%3A%20%27%27%7D%2C%7Bname%3A%20%22a%27b%27%22%2C%20wave%3A%20%27%27%7D%2C%7Bname%3A%20%22F%22%2C%20wave%3A%20%27%27%7D%2C%5D%2C%0A%20%20foot%3A%7Btock%3A1%7D%0A%7D"" target=""_blank"">WaveDrom Link</a> </p>",HTML
Points,10
Difficulty,1
Image,/imagepools/quantumbeef/non_ideal.png
ANSWER,100,(?i).*name.*f.*wave.*x\.\.\.\.\.0\.\.1\.\.0\.\.\.\.\.10.*,regexp


NewQuestion,SA
Title,2_non_ideal_circuit
QuestionText,"<p> The above circuit is NON-ideal, so each gate now has a delay as shown.             Click on the link below to open the problem in Watson Wiki.             Complete the timing diagram, and then paste all the code             into the answer box. </p> <p> <a href=""https://watsonwiki.binghamton.edu/wavedrom/editor.html?%7B%20head%3A%7Btext%3A%27Topic%2013%20Question%202%27%7D%2C%0Asignal%3A%0A%5B%0A%7Bname%3A%20%22a%22%2C%20wave%3A%20%221.............01...0%22%7D%2C%7Bname%3A%20%22b%22%2C%20wave%3A%20%220..........1..0.....%22%7D%2C%7Bname%3A%20%22a%27%22%2C%20wave%3A%20%27%27%7D%2C%7Bname%3A%20%22b%27%22%2C%20wave%3A%20%27%27%7D%2C%7Bname%3A%20%22ab%22%2C%20wave%3A%20%27%27%7D%2C%7Bname%3A%20%22a%27b%27%22%2C%20wave%3A%20%27%27%7D%2C%7Bname%3A%20%22F%22%2C%20wave%3A%20%27%27%7D%2C%5D%2C%0A%20%20foot%3A%7Btock%3A1%7D%0A%7D"" target=""_blank"">WaveDrom Link</a> </p>",HTML
Points,10
Difficulty,1
Image,/imagepools/quantumbeef/non_ideal.png
ANSWER,100,(?i).*name.*f.*wave.*x\.\.\.\.\.0\.\.\.\.\.\.\.\.\.1\.\.0.*,regexp


NewQuestion,SA
Title,2_non_ideal_circuit
QuestionText,"<p> The above circuit is NON-ideal, so each gate now has a delay as shown.             Click on the link below to open the problem in Watson Wiki.             Complete the timing diagram, and then paste all the code             into the answer box. </p> <p> <a href=""https://watsonwiki.binghamton.edu/wavedrom/editor.html?%7B%20head%3A%7Btext%3A%27Topic%2013%20Question%202%27%7D%2C%0Asignal%3A%0A%5B%0A%7Bname%3A%20%22a%22%2C%20wave%3A%20%221....01...0..1......%22%7D%2C%7Bname%3A%20%22b%22%2C%20wave%3A%20%221...0.1.......0.....%22%7D%2C%7Bname%3A%20%22a%27%22%2C%20wave%3A%20%27%27%7D%2C%7Bname%3A%20%22b%27%22%2C%20wave%3A%20%27%27%7D%2C%7Bname%3A%20%22ab%22%2C%20wave%3A%20%27%27%7D%2C%7Bname%3A%20%22a%27b%27%22%2C%20wave%3A%20%27%27%7D%2C%7Bname%3A%20%22F%22%2C%20wave%3A%20%27%27%7D%2C%5D%2C%0A%20%20foot%3A%7Btock%3A1%7D%0A%7D"" target=""_blank"">WaveDrom Link</a> </p>",HTML
Points,10
Difficulty,1
Image,/imagepools/quantumbeef/non_ideal.png
ANSWER,100,(?i).*name.*f.*wave.*x\.\.\.\.\.1\.\.0\.1\.\.\.0\.\.10.*,regexp


NewQuestion,SA
Title,2_non_ideal_circuit
QuestionText,"<p> The above circuit is NON-ideal, so each gate now has a delay as shown.             Click on the link below to open the problem in Watson Wiki.             Complete the timing diagram, and then paste all the code             into the answer box. </p> <p> <a href=""https://watsonwiki.binghamton.edu/wavedrom/editor.html?%7B%20head%3A%7Btext%3A%27Topic%2013%20Question%202%27%7D%2C%0Asignal%3A%0A%5B%0A%7Bname%3A%20%22a%22%2C%20wave%3A%20%221...........0...1...%22%7D%2C%7Bname%3A%20%22b%22%2C%20wave%3A%20%221..0..1..0.1....0...%22%7D%2C%7Bname%3A%20%22a%27%22%2C%20wave%3A%20%27%27%7D%2C%7Bname%3A%20%22b%27%22%2C%20wave%3A%20%27%27%7D%2C%7Bname%3A%20%22ab%22%2C%20wave%3A%20%27%27%7D%2C%7Bname%3A%20%22a%27b%27%22%2C%20wave%3A%20%27%27%7D%2C%7Bname%3A%20%22F%22%2C%20wave%3A%20%27%27%7D%2C%5D%2C%0A%20%20foot%3A%7Btock%3A1%7D%0A%7D"" target=""_blank"">WaveDrom Link</a> </p>",HTML
Points,10
Difficulty,1
Image,/imagepools/quantumbeef/non_ideal.png
ANSWER,100,(?i).*name.*f.*wave.*x\.\.\.\.\.1\.0\.\.1\.\.0\.10\.\..*,regexp


NewQuestion,SA
Title,2_non_ideal_circuit
QuestionText,"<p> The above circuit is NON-ideal, so each gate now has a delay as shown.             Click on the link below to open the problem in Watson Wiki.             Complete the timing diagram, and then paste all the code             into the answer box. </p> <p> <a href=""https://watsonwiki.binghamton.edu/wavedrom/editor.html?%7B%20head%3A%7Btext%3A%27Topic%2013%20Question%202%27%7D%2C%0Asignal%3A%0A%5B%0A%7Bname%3A%20%22a%22%2C%20wave%3A%20%221...0.....1.......0.%22%7D%2C%7Bname%3A%20%22b%22%2C%20wave%3A%20%221.................01%22%7D%2C%7Bname%3A%20%22a%27%22%2C%20wave%3A%20%27%27%7D%2C%7Bname%3A%20%22b%27%22%2C%20wave%3A%20%27%27%7D%2C%7Bname%3A%20%22ab%22%2C%20wave%3A%20%27%27%7D%2C%7Bname%3A%20%22a%27b%27%22%2C%20wave%3A%20%27%27%7D%2C%7Bname%3A%20%22F%22%2C%20wave%3A%20%27%27%7D%2C%5D%2C%0A%20%20foot%3A%7Btock%3A1%7D%0A%7D"" target=""_blank"">WaveDrom Link</a> </p>",HTML
Points,10
Difficulty,1
Image,/imagepools/quantumbeef/non_ideal.png
ANSWER,100,(?i).*name.*f.*wave.*x\.\.\.\.\.1\.\.0\.\.\.\.\.1\.\.\.\..*,regexp


NewQuestion,SA
Title,2_non_ideal_circuit
QuestionText,"<p> The above circuit is NON-ideal, so each gate now has a delay as shown.             Click on the link below to open the problem in Watson Wiki.             Complete the timing diagram, and then paste all the code             into the answer box. </p> <p> <a href=""https://watsonwiki.binghamton.edu/wavedrom/editor.html?%7B%20head%3A%7Btext%3A%27Topic%2013%20Question%202%27%7D%2C%0Asignal%3A%0A%5B%0A%7Bname%3A%20%22a%22%2C%20wave%3A%20%221..0......1.0..1.0..%22%7D%2C%7Bname%3A%20%22b%22%2C%20wave%3A%20%220..10..1....0.......%22%7D%2C%7Bname%3A%20%22a%27%22%2C%20wave%3A%20%27%27%7D%2C%7Bname%3A%20%22b%27%22%2C%20wave%3A%20%27%27%7D%2C%7Bname%3A%20%22ab%22%2C%20wave%3A%20%27%27%7D%2C%7Bname%3A%20%22a%27b%27%22%2C%20wave%3A%20%27%27%7D%2C%7Bname%3A%20%22F%22%2C%20wave%3A%20%27%27%7D%2C%5D%2C%0A%20%20foot%3A%7Btock%3A1%7D%0A%7D"" target=""_blank"">WaveDrom Link</a> </p>",HTML
Points,10
Difficulty,1
Image,/imagepools/quantumbeef/non_ideal.png
ANSWER,100,(?i).*name.*f.*wave.*x\.\.\.\.\.0\.\.\.1\.\.0\.1\.01\..*,regexp


NewQuestion,SA
Title,2_non_ideal_circuit
QuestionText,"<p> The above circuit is NON-ideal, so each gate now has a delay as shown.             Click on the link below to open the problem in Watson Wiki.             Complete the timing diagram, and then paste all the code             into the answer box. </p> <p> <a href=""https://watsonwiki.binghamton.edu/wavedrom/editor.html?%7B%20head%3A%7Btext%3A%27Topic%2013%20Question%202%27%7D%2C%0Asignal%3A%0A%5B%0A%7Bname%3A%20%22a%22%2C%20wave%3A%20%221..0.10.........10..%22%7D%2C%7Bname%3A%20%22b%22%2C%20wave%3A%20%221....0.1...........0%22%7D%2C%7Bname%3A%20%22a%27%22%2C%20wave%3A%20%27%27%7D%2C%7Bname%3A%20%22b%27%22%2C%20wave%3A%20%27%27%7D%2C%7Bname%3A%20%22ab%22%2C%20wave%3A%20%27%27%7D%2C%7Bname%3A%20%22a%27b%27%22%2C%20wave%3A%20%27%27%7D%2C%7Bname%3A%20%22F%22%2C%20wave%3A%20%27%27%7D%2C%5D%2C%0A%20%20foot%3A%7Btock%3A1%7D%0A%7D"" target=""_blank"">WaveDrom Link</a> </p>",HTML
Points,10
Difficulty,1
Image,/imagepools/quantumbeef/non_ideal.png
ANSWER,100,(?i).*name.*f.*wave.*x\.\.\.\.\.1\.0\.\.\.10\.\.\.\.\.\..*,regexp


