NewQuestion,M
Title,FSM to SOP matching
QuestionText,"For the FSM model above, match the next state bits and outputs to their Boolean expressions.",NOT HTML
Points,10
Difficulty,1
Image,/imagepools/quantumbeef/FSM_18_I.png
Scoring,EquallyWeighted
Choice,1,Q1Q0'a + Q1'Q0a
Choice,2,Q0
Choice,3,Q1Q0
Choice,4,Q1'Q0'a
Choice,5,Q0'a
Choice,6,Q1Q0'a' + Q1'Q0a'
Match,1,Q1+
Match,5,Q0+
Match,3,F


NewQuestion,M
Title,FSM to SOP matching
QuestionText,"For the FSM model above, match the next state bits and outputs to their Boolean expressions.",NOT HTML
Points,10
Difficulty,1
Image,/imagepools/quantumbeef/FSM_18_J.png
Scoring,EquallyWeighted
Choice,1,Q1Q0'a + Q1'Q0a
Choice,2,Q0'a'
Choice,3,Q1'Q0'a
Choice,4,Q1Q0
Choice,5,Q1Q0'a' + Q1'Q0a'
Choice,6,Q1a + Q0'a
Match,5,Q1+
Match,2,Q0+
Match,4,F


NewQuestion,M
Title,FSM to SOP matching
QuestionText,"For the FSM model above, match the next state bits and outputs to their Boolean expressions.",NOT HTML
Points,10
Difficulty,1
Image,/imagepools/quantumbeef/FSM_18_K.png
Scoring,EquallyWeighted
Choice,1,Q1Q0
Choice,2,Q1a + Q0
Choice,3,Q1a + Q0a
Choice,4,Q1a + Q0'a
Choice,5,Q1'Q0'a
Choice,6,Q0
Match,2,Q1+
Match,5,Q0+
Match,6,F


NewQuestion,M
Title,FSM to SOP matching
QuestionText,"For the FSM model above, match the next state bits and outputs to their Boolean expressions.",NOT HTML
Points,10
Difficulty,1
Image,/imagepools/quantumbeef/FSM_18_L.png
Scoring,EquallyWeighted
Choice,1,Q0'a
Choice,2,Q1a + Q0'a
Choice,3,Q1'Q0'a
Choice,4,Q1a + Q0
Choice,5,Q1a + Q0a
Choice,6,Q1Q0
Match,5,Q1+
Match,2,Q0+
Match,6,F


