NewQuestion,SA
Title,Follow FSM Pattern
QuestionText,"<p>If the FSM above starts in state 000 and has an input             sequence of 11111001, what state will it end in?</p>",HTML
Points,10
Difficulty,1
Image,/imagepools/quantumbeef/FSM_19_E.png
Feedback,100,NOT HTML
ANSWER,100,^[^0-9]*100[^0-9]*$,regexp


NewQuestion,SA
Title,Follow FSM Pattern
QuestionText,"<p>If the FSM above starts in state 000 and has an input             sequence of 10101011, what state will it end in?</p>",HTML
Points,10
Difficulty,1
Image,/imagepools/quantumbeef/FSM_19_E.png
Feedback,001,NOT HTML
ANSWER,100,^[^0-9]*001[^0-9]*$,regexp


NewQuestion,SA
Title,Follow FSM Pattern
QuestionText,"<p>If the FSM above starts in state 000 and has an input             sequence of 00011100, what state will it end in?</p>",HTML
Points,10
Difficulty,1
Image,/imagepools/quantumbeef/FSM_19_E.png
Feedback,000,NOT HTML
ANSWER,100,^[^0-9]*000[^0-9]*$,regexp


NewQuestion,SA
Title,Follow FSM Pattern
QuestionText,"<p>If the FSM above starts in state 000 and has an input             sequence of 01100000, what state will it end in?</p>",HTML
Points,10
Difficulty,1
Image,/imagepools/quantumbeef/FSM_19_E.png
Feedback,000,NOT HTML
ANSWER,100,^[^0-9]*000[^0-9]*$,regexp


NewQuestion,SA
Title,Follow FSM Pattern
QuestionText,"<p>If the FSM above starts in state 000 and has an input             sequence of 11100111, what state will it end in?</p>",HTML
Points,10
Difficulty,1
Image,/imagepools/quantumbeef/FSM_19_E.png
Feedback,010,NOT HTML
ANSWER,100,^[^0-9]*010[^0-9]*$,regexp


NewQuestion,SA
Title,Follow FSM Pattern
QuestionText,"<p>If the FSM above starts in state 001 and has an input             sequence of 00000110, what state will it end in?</p>",HTML
Points,10
Difficulty,1
Image,/imagepools/quantumbeef/FSM_19_E.png
Feedback,100,NOT HTML
ANSWER,100,^[^0-9]*100[^0-9]*$,regexp


NewQuestion,SA
Title,Follow FSM Pattern
QuestionText,"<p>If the FSM above starts in state 001 and has an input             sequence of 01011001, what state will it end in?</p>",HTML
Points,10
Difficulty,1
Image,/imagepools/quantumbeef/FSM_19_E.png
Feedback,001,NOT HTML
ANSWER,100,^[^0-9]*001[^0-9]*$,regexp


NewQuestion,SA
Title,Follow FSM Pattern
QuestionText,"<p>If the FSM above starts in state 001 and has an input             sequence of 01001100, what state will it end in?</p>",HTML
Points,10
Difficulty,1
