NewQuestion,SA
Title,Follow FSM Pattern
QuestionText,"<p>If the FSM above starts in state 000 and has an input             sequence of 11110111, what state will it end in?</p>",HTML
Points,10
Difficulty,1
Image,/imagepools/quantumbeef/FSM_19_E.png
Feedback,100,NOT HTML
ANSWER,100,^[^0-9]*100[^0-9]*$,regexp


NewQuestion,SA
Title,Follow FSM Pattern
QuestionText,"<p>If the FSM above starts in state 000 and has an input             sequence of 01000100, what state will it end in?</p>",HTML
Points,10
Difficulty,1
Image,/imagepools/quantumbeef/FSM_19_E.png
Feedback,000,NOT HTML
ANSWER,100,^[^0-9]*000[^0-9]*$,regexp


NewQuestion,SA
Title,Follow FSM Pattern
QuestionText,"<p>If the FSM above starts in state 000 and has an input             sequence of 10110100, what state will it end in?</p>",HTML
Points,10
Difficulty,1
Image,/imagepools/quantumbeef/FSM_19_E.png
Feedback,111,NOT HTML
ANSWER,100,^[^0-9]*111[^0-9]*$,regexp


NewQuestion,SA
Title,Follow FSM Pattern
QuestionText,"<p>If the FSM above starts in state 000 and has an input             sequence of 10001010, what state will it end in?</p>",HTML
Points,10
Difficulty,1
Image,/imagepools/quantumbeef/FSM_19_E.png
Feedback,101,NOT HTML
ANSWER,100,^[^0-9]*101[^0-9]*$,regexp


NewQuestion,SA
Title,Follow FSM Pattern
QuestionText,"<p>If the FSM above starts in state 000 and has an input             sequence of 00110010, what state will it end in?</p>",HTML
Points,10
Difficulty,1
Image,/imagepools/quantumbeef/FSM_19_E.png
Feedback,111,NOT HTML
ANSWER,100,^[^0-9]*111[^0-9]*$,regexp


NewQuestion,SA
Title,Follow FSM Pattern
QuestionText,"<p>If the FSM above starts in state 001 and has an input             sequence of 00001001, what state will it end in?</p>",HTML
Points,10
Difficulty,1
Image,/imagepools/quantumbeef/FSM_19_E.png
Feedback,001,NOT HTML
ANSWER,100,^[^0-9]*001[^0-9]*$,regexp


NewQuestion,SA
Title,Follow FSM Pattern
QuestionText,"<p>If the FSM above starts in state 001 and has an input             sequence of 11011001, what state will it end in?</p>",HTML
Points,10
Difficulty,1
Image,/imagepools/quantumbeef/FSM_19_E.png
Feedback,110,NOT HTML
ANSWER,100,^[^0-9]*110[^0-9]*$,regexp


NewQuestion,SA
Title,Follow FSM Pattern
QuestionText,"<p>If the FSM above starts in state 001 and has an input             sequence of 10110000, what state will it end in?</p>",HTML
Points,10
Difficulty,1
