NewQuestion,M
Title,FSM to SOP matching
QuestionText,"For the FSM model above, match the next state bits and outputs to their Boolean expressions.",NOT HTML
Points,10
Difficulty,1
Image,/imagepools/quantumbeef/FSM_20_I.png
Scoring,EquallyWeighted
Choice,1,Q1'Q0'a
Choice,2,Q0'a'
Choice,3,Q1Q0'a + Q1'Q0a
Choice,4,Q0 + Q1a
Choice,5,Q0'a
Choice,6,Q1Q0
Match,3,Q1+
Match,5,Q0+
Match,6,F


NewQuestion,M
Title,FSM to SOP matching
QuestionText,"For the FSM model above, match the next state bits and outputs to their Boolean expressions.",NOT HTML
Points,10
Difficulty,1
Image,/imagepools/quantumbeef/FSM_20_J.png
Scoring,EquallyWeighted
Choice,1,Q1'Q0'a
Choice,2,Q0
Choice,3,Q0'a
Choice,4,Q1Q0'a' + Q1'Q0a'
Choice,5,Q1Q0
Choice,6,Q0'a'
Match,4,Q1+
Match,6,Q0+
Match,5,F


NewQuestion,M
Title,FSM to SOP matching
QuestionText,"For the FSM model above, match the next state bits and outputs to their Boolean expressions.",NOT HTML
Points,10
Difficulty,1
Image,/imagepools/quantumbeef/FSM_20_K.png
Scoring,EquallyWeighted
Choice,1,Q0
Choice,2,Q1'Q0'a
Choice,3,Q0 + Q1a
Choice,4,Q0'a'
Choice,5,Q0a + Q1a
Choice,6,Q0'a
Match,3,Q1+
Match,2,Q0+
Match,1,F


NewQuestion,M
Title,FSM to SOP matching
QuestionText,"For the FSM model above, match the next state bits and outputs to their Boolean expressions.",NOT HTML
Points,10
Difficulty,1
Image,/imagepools/quantumbeef/FSM_20_L.png
Scoring,EquallyWeighted
Choice,1,Q1'Q0'a
Choice,2,Q0'a + Q1a
Choice,3,Q1Q0'a' + Q1'Q0a'
Choice,4,Q0'a
Choice,5,Q1Q0
Choice,6,Q0a + Q1a
Match,6,Q1+
Match,2,Q0+
Match,5,F


