NewQuestion,M
Title,Match Opcodes with Operations
QuestionText,"<p> For the ALU pictured above, match each opcode to its          corresponding operation. </p>",HTML
Points,10
Difficulty,1
Image,/imagepools/quantumbeef/ALU_27_A.png
Scoring,EquallyWeighted
Choice,1,F = A + 1
Choice,2,F = 2A
Choice,3,F = A - B
Choice,4,F = 0
Choice,5,F = A
Choice,6,F = A + B
Choice,7,F = B
Choice,8,F = A - 1
Match,5,Opcode 00
Match,7,Opcode 01
Match,6,Opcode 10
Match,2,Opcode 11


NewQuestion,M
Title,Match Opcodes with Operations
QuestionText,"<p> For the ALU pictured above, match each opcode to its          corresponding operation. </p>",HTML
Points,10
Difficulty,1
Image,/imagepools/quantumbeef/ALU_27_B.png
Scoring,EquallyWeighted
Choice,1,F = 2A
Choice,2,F = 0
Choice,3,F = A + 1
Choice,4,F = A - B
Choice,5,F = A + B
Choice,6,F = B
Choice,7,F = A - 1
Choice,8,F = A
Match,2,Opcode 00
Match,6,Opcode 01
Match,5,Opcode 10
Match,4,Opcode 11


NewQuestion,M
Title,Match Opcodes with Operations
QuestionText,"<p> For the ALU pictured above, match each opcode to its          corresponding operation. </p>",HTML
Points,10
Difficulty,1
Image,/imagepools/quantumbeef/ALU_27_C.png
Scoring,EquallyWeighted
Choice,1,F = 2A
Choice,2,F = A - 1
Choice,3,F = A
Choice,4,F = A - B
Choice,5,F = A + 1
Choice,6,F = A + B
Choice,7,F = 0
Choice,8,F = B
Match,8,Opcode 00
Match,6,Opcode 01
Match,4,Opcode 10
Match,7,Opcode 11


NewQuestion,M
Title,Match Opcodes with Operations
QuestionText,"<p> For the ALU pictured above, match each opcode to its          corresponding operation. </p>",HTML
Points,10
Difficulty,1
Image,/imagepools/quantumbeef/ALU_27_D.png
Scoring,EquallyWeighted
Choice,1,F = 2A
Choice,2,F = A - 1
Choice,3,F = B
Choice,4,F = A
Choice,5,F = 0
Choice,6,F = A - B
Choice,7,F = A + B
Choice,8,F = A + 1
Match,7,Opcode 00
Match,6,Opcode 01
Match,8,Opcode 10
Match,2,Opcode 11


