NewQuestion,SA
Title,Find MFR Result
QuestionText,"<p> The multi-function register pictured above has the following         operation table: </p>         <table style='border-collapse: collapse; text-align: center'><tr>    <th style='border-bottom: 2px solid black; padding: 15px;'>Opcode</th>    <th style='border-bottom: 2px solid black; padding: 15px;'>MFR Operation</th></tr><tr><td>0000</td><td>Q <- Q</td></tr><tr><td>0001</td><td>Q <- Q & A</td></tr><tr><td>0010</td><td>Q <- Q + 1</td></tr><tr><td>0100</td><td>Q <- A</td></tr><tr><td>1000</td><td>Q <- Q + A</td></tr></table>         <p> The value of Q is initially <code>11100001</code>. The value of A is <code>10111101</code>,         and it stays constant. The MFR receives opcodes of <code>0000</code>,         <code>1000</code>, and <code>0010</code> over the next         three clock cycles.</p>         <p> What is the resulting value of Q? <i>Enter your answer in binary.</i></p>",HTML
Points,10
Difficulty,1
Image,/imagepools/quantumbeef/MFR_28_1.png
Feedback,10011111,NOT HTML
ANSWER,100,^[^0-9]*10011111[^0-9]*$,regexp


NewQuestion,SA
Title,Find MFR Result
QuestionText,"<p> The multi-function register pictured above has the following         operation table: </p>         <table style='border-collapse: collapse; text-align: center'><tr>    <th style='border-bottom: 2px solid black; padding: 15px;'>Opcode</th>    <th style='border-bottom: 2px solid black; padding: 15px;'>MFR Operation</th></tr><tr><td>0000</td><td>Q <- Q</td></tr><tr><td>0001</td><td>Q <- A</td></tr><tr><td>0010</td><td>Q <- 0</td></tr><tr><td>0100</td><td>Q <- Q + A</td></tr><tr><td>1000</td><td>Q <- Q & A</td></tr></table>         <p> The value of Q is initially <code>00101111</code>. The value of A is <code>11000111</code>,         and it stays constant. The MFR receives opcodes of <code>1000</code>,         <code>1000</code>, and <code>0000</code> over the next         three clock cycles.</p>         <p> What is the resulting value of Q? <i>Enter your answer in binary.</i></p>",HTML
Points,10
Difficulty,1
Image,/imagepools/quantumbeef/MFR_28_1.png
Feedback,00000111,NOT HTML
ANSWER,100,^[^0-9]*00000111[^0-9]*$,regexp


NewQuestion,SA
Title,Find MFR Result
QuestionText,"<p> The multi-function register pictured above has the following         operation table: </p>         <table style='border-collapse: collapse; text-align: center'><tr>    <th style='border-bottom: 2px solid black; padding: 15px;'>Opcode</th>    <th style='border-bottom: 2px solid black; padding: 15px;'>MFR Operation</th></tr><tr><td>0000</td><td>Q <- Q</td></tr><tr><td>0001</td><td>Q <- Q & A</td></tr><tr><td>0010</td><td>Q <- 2 * Q</td></tr><tr><td>0100</td><td>Q <- A</td></tr><tr><td>1000</td><td>Q <- Q + A</td></tr></table>         <p> The value of Q is initially <code>00001100</code>. The value of A is <code>01100000</code>,         and it stays constant. The MFR receives opcodes of <code>0100</code>,         <code>0000</code>, and <code>0010</code> over the next         three clock cycles.</p>         <p> What is the resulting value of Q? <i>Enter your answer in binary.</i></p>",HTML
Points,10
Difficulty,1
Image,/imagepools/quantumbeef/MFR_28_1.png
Feedback,11000000,NOT HTML
ANSWER,100,^[^0-9]*11000000[^0-9]*$,regexp


NewQuestion,SA
Title,Find MFR Result
